;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2013-10-08 21:27:27
;----------------------------------------------

;Address Opcode 	ASM
0x0EE6	0x0E84      	MOVLW       132
0x0EE8	0x6EE6      	MOVWF       POSTINC1 
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete162:
0x0EEA	0xD083      	BRA         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete163
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete160:
0x0EEC	0xBFF3      	BTFSC       __Lib_USB_genHID_outPipes+2, 7, 1
0x0EEE	0xD081      	BRA         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete164
0x0EF0	0x0104      	MOVLB       4
0x0EF2	0xAF20      	BTFSS       __Lib_USB_genHID_SetupPkt, 7, 1
0x0EF4	0xD056      	BRA         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete165
0x0EF6	0x0101      	MOVLB       1
0x0EF8	0x5101      	MOVF        __Lib_USB_genHID_inPipes+5, 0, 1
0x0EFA	0x0104      	MOVLB       4
0x0EFC	0x5D27      	SUBWF       1063, 0, 1
0x0EFE	0xE104      	BNZ         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete276
0x0F00	0x0101      	MOVLB       1
0x0F02	0x5100      	MOVF        __Lib_USB_genHID_inPipes+4, 0, 1
0x0F04	0x0104      	MOVLB       4
0x0F06	0x5D26      	SUBWF       1062, 0, 1
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete276:
0x0F08	0xE204      	BC          L___Lib_USB_genHID_USB_CtrlEP_Service_Complete166
0x0F0A	0xF100C426  	MOVFF       1062, __Lib_USB_genHID_inPipes+4
0x0F0E	0xF101C427  	MOVFF       1063, __Lib_USB_genHID_inPipes+5
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete166:
0x0F12	0xDC71      	RCALL       __Lib_USB_genHID_USB_CtrlTrf_Tx_Service
0x0F14	0x0E01      	MOVLW       1
0x0F16	0x0100      	MOVLB       0
0x0F18	0x6FEE      	MOVWF       __Lib_USB_genHID_controlTransferState, 1
0x0F1A	0x0E01      	MOVLW       1
0x0F1C	0x25DD      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0F1E	0x6EE1      	MOVWF       FSR1 
0x0F20	0x0E00      	MOVLW       0
0x0F22	0x21DE      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0F24	0x6EE2      	MOVWF       FSR1H 
0x0F26	0x0E08      	MOVLW       8
0x0F28	0x6EE6      	MOVWF       POSTINC1 
0x0F2A	0x0E02      	MOVLW       2
0x0F2C	0x25DD      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0F2E	0x6EE1      	MOVWF       FSR1 
0x0F30	0x0E00      	MOVLW       0
0x0F32	0x21DE      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0F34	0x6EE2      	MOVWF       FSR1H 
0x0F36	0x0E20      	MOVLW       __Lib_USB_genHID_SetupPkt
0x0F38	0x6EE6      	MOVWF       POSTINC1 
0x0F3A	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_SetupPkt)
0x0F3C	0x6EE6      	MOVWF       POSTINC1 
0x0F3E	0xFFE1C0DD  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, FSR1
0x0F42	0xFFE2C0DE  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, FSR1H
0x0F46	0x0E80      	MOVLW       128
0x0F48	0x6EE6      	MOVWF       POSTINC1 
0x0F4A	0x6BEF      	CLRF        __Lib_USB_genHID_BothEP0OutUOWNsSet, 1
0x0F4C	0x0E01      	MOVLW       1
0x0F4E	0x25DB      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr, 0, 1
0x0F50	0x6EE1      	MOVWF       FSR1 
0x0F52	0x0E00      	MOVLW       0
0x0F54	0x21DC      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr+1, 0, 1
0x0F56	0x6EE2      	MOVWF       FSR1H 
0x0F58	0x0E08      	MOVLW       8
0x0F5A	0x6EE6      	MOVWF       POSTINC1 
0x0F5C	0x0E02      	MOVLW       2
0x0F5E	0x25DB      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr, 0, 1
0x0F60	0x6EE1      	MOVWF       FSR1 
0x0F62	0x0E00      	MOVLW       0
0x0F64	0x21DC      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr+1, 0, 1
0x0F66	0x6EE2      	MOVWF       FSR1H 
0x0F68	0x0E20      	MOVLW       __Lib_USB_genHID_SetupPkt
0x0F6A	0x6EE6      	MOVWF       POSTINC1 
0x0F6C	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_SetupPkt)
0x0F6E	0x6EE6      	MOVWF       POSTINC1 
0x0F70	0xFFE1C0DB  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr, FSR1
0x0F74	0xFFE2C0DC  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr+1, FSR1H
0x0F78	0x0E84      	MOVLW       132
0x0F7A	0x6EE6      	MOVWF       POSTINC1 
0x0F7C	0x0E01      	MOVLW       1
0x0F7E	0x6FEF      	MOVWF       __Lib_USB_genHID_BothEP0OutUOWNsSet, 1
0x0F80	0x0E02      	MOVLW       2
0x0F82	0x25E0      	ADDWF       __Lib_USB_genHID_BDTEntry_InPtr, 0, 1
0x0F84	0x6EE1      	MOVWF       FSR1 
0x0F86	0x0E00      	MOVLW       0
0x0F88	0x21E1      	ADDWFC      __Lib_USB_genHID_BDTEntry_InPtr+1, 0, 1
0x0F8A	0x6EE2      	MOVWF       FSR1H 
0x0F8C	0x0E28      	MOVLW       __Lib_USB_genHID_CtrlTrfData
0x0F8E	0x6EE6      	MOVWF       POSTINC1 
0x0F90	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_CtrlTrfData)
0x0F92	0x6EE6      	MOVWF       POSTINC1 
0x0F94	0xFFE1C0E0  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr, FSR1
0x0F98	0xFFE2C0E1  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+1, FSR1H
0x0F9C	0x0EC8      	MOVLW       200
0x0F9E	0x6EE6      	MOVWF       POSTINC1 
0x0FA0	0xD028      	BRA         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete167
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete165:
0x0FA2	0x0100      	MOVLB       0
0x0FA4	0x0E02      	MOVLW       2
0x0FA6	0x6FEE      	MOVWF       __Lib_USB_genHID_controlTransferState, 1
0x0FA8	0x0E01      	MOVLW       1
0x0FAA	0x25E0      	ADDWF       __Lib_USB_genHID_BDTEntry_InPtr, 0, 1
0x0FAC	0x6EE1      	MOVWF       FSR1 
0x0FAE	0x0E00      	MOVLW       0
0x0FB0	0x21E1      	ADDWFC      __Lib_USB_genHID_BDTEntry_InPtr+1, 0, 1
0x0FB2	0x6EE2      	MOVWF       FSR1H 
0x0FB4	0x6AE6      	CLRF        POSTINC1 
0x0FB6	0xFFE1C0E0  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr, FSR1
0x0FBA	0xFFE2C0E1  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+1, FSR1H
0x0FBE	0x0EC8      	MOVLW       200
0x0FC0	0x6EE6      	MOVWF       POSTINC1 
0x0FC2	0x0E01      	MOVLW       1
0x0FC4	0x25DD      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0FC6	0x6EE1      	MOVWF       FSR1 
0x0FC8	0x0E00      	MOVLW       0
0x0FCA	0x21DE      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0FCC	0x6EE2      	MOVWF       FSR1H 
0x0FCE	0x0E08      	MOVLW       8
0x0FD0	0x6EE6      	MOVWF       POSTINC1 
0x0FD2	0x0E02      	MOVLW       2
0x0FD4	0x25DD      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0FD6	0x6EE1      	MOVWF       FSR1 
0x0FD8	0x0E00      	MOVLW       0
0x0FDA	0x21DE      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0FDC	0x6EE2      	MOVWF       FSR1H 
0x0FDE	0x0E28      	MOVLW       __Lib_USB_genHID_CtrlTrfData
0x0FE0	0x6EE6      	MOVWF       POSTINC1 
0x0FE2	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_CtrlTrfData)
0x0FE4	0x6EE6      	MOVWF       POSTINC1 
0x0FE6	0xFFE1C0DD  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, FSR1
0x0FEA	0xFFE2C0DE  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, FSR1H
0x0FEE	0x0EC8      	MOVLW       200
0x0FF0	0x6EE6      	MOVWF       POSTINC1 
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete167:
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete164:
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete163:
0x0FF2	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_CtrlEP_Service_Complete
__Lib_USB_genHID_USB_Check_Std_Request:
0x0FF4	0xF001C420  	MOVFF       __Lib_USB_genHID_SetupPkt, R1
0x0FF8	0x0E60      	MOVLW       96
0x0FFA	0x1601      	ANDWF       R1, 1 
0x0FFC	0x0E05      	MOVLW       5
0x0FFE	0x6E00      	MOVWF       R0 
0x1000	0x5000      	MOVF        R0, 0 
L___Lib_USB_genHID_USB_Check_Std_Request274:
0x1002	0xE004      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request275
0x1004	0x3201      	RRCF        R1, 1 
0x1006	0x9E01      	BCF         R1, 7 
0x1008	0x0FFF      	ADDLW       255
0x100A	0xD7FB      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request274
L___Lib_USB_genHID_USB_Check_Std_Request275:
0x100C	0x5001      	MOVF        R1, 0 
0x100E	0x0A00      	XORLW       0
0x1010	0xA4D8      	BTFSS       STATUS, 2 
0x1012	0x0012      	RETURN      0
L___Lib_USB_genHID_USB_Check_Std_Request111:
0x1014	0xD04B      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request112
L___Lib_USB_genHID_USB_Check_Std_Request114:
0x1016	0x0100      	MOVLB       0
0x1018	0x8FFF      	BSF         __Lib_USB_genHID_inPipes+3, 7, 1
0x101A	0x0E08      	MOVLW       8
0x101C	0x6E57      	MOVWF       __Lib_USB_genHID_USBDeviceState 
0x101E	0xD069      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
L___Lib_USB_genHID_USB_Check_Std_Request115:
0x1020	0xDD34      	RCALL       __Lib_USB_genHID_USB_Get_Dsc_Handler
0x1022	0xD067      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
L___Lib_USB_genHID_USB_Check_Std_Request116:
0x1024	0xF003EC4F  	CALL        __Lib_USB_genHID_USB_Set_Cfg_Handler, 0
0x1028	0xD064      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
L___Lib_USB_genHID_USB_Check_Std_Request117:
0x102A	0x0EE4      	MOVLW       __Lib_USB_genHID_USBActiveConfiguration
0x102C	0x0100      	MOVLB       0
0x102E	0x6FFC      	MOVWF       __Lib_USB_genHID_inPipes, 1
0x1030	0x0E00      	MOVLW       hi_addr(__Lib_USB_genHID_USBActiveConfiguration)
0x1032	0x6FFD      	MOVWF       __Lib_USB_genHID_inPipes+1, 1
0x1034	0x81FF      	BSF         __Lib_USB_genHID_inPipes+3, 0, 1
0x1036	0x0E01      	MOVLW       1
0x1038	0x0101      	MOVLB       1
0x103A	0x6F00      	MOVWF       __Lib_USB_genHID_inPipes+4, 1
0x103C	0x0100      	MOVLB       0
0x103E	0x8FFF      	BSF         __Lib_USB_genHID_inPipes+3, 7, 1
0x1040	0xD058      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
L___Lib_USB_genHID_USB_Check_Std_Request118:
0x1042	0xF003EC80  	CALL        __Lib_USB_genHID_USB_Get_Status_Handler, 0
0x1046	0xD055      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
L___Lib_USB_genHID_USB_Check_Std_Request119:
L___Lib_USB_genHID_USB_Check_Std_Request120:
0x1048	0xDC78      	RCALL       __Lib_USB_genHID_USB_Std_Feature_Req_Handler
0x104A	0xD053      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
L___Lib_USB_genHID_USB_Check_Std_Request121:
0x104C	0x0EEC      	MOVLW       __Lib_USB_genHID_USBAlternateInterface
0x104E	0x6E00      	MOVWF       R0 
0x1050	0x0E00      	MOVLW       hi_addr(__Lib_USB_genHID_USBAlternateInterface)
0x1052	0x6E01      	MOVWF       R1 
0x1054	0x0104      	MOVLB       4
0x1056	0x5124      	MOVF        1060, 0, 1
0x1058	0x2600      	ADDWF       R0, 1 
0x105A	0xB0D8      	BTFSC       STATUS, 0 
0x105C	0x2A01      	INCF        R1, 1 
0x105E	0xF0FCC000  	MOVFF       R0, __Lib_USB_genHID_inPipes
0x1062	0xF0FDC001  	MOVFF       R1, __Lib_USB_genHID_inPipes+1
0x1066	0x0100      	MOVLB       0
0x1068	0x81FF      	BSF         __Lib_USB_genHID_inPipes+3, 0, 1
0x106A	0x0E01      	MOVLW       1
0x106C	0x0101      	MOVLB       1
0x106E	0x6F00      	MOVWF       __Lib_USB_genHID_inPipes+4, 1
0x1070	0x0100      	MOVLB       0
0x1072	0x8FFF      	BSF         __Lib_USB_genHID_inPipes+3, 7, 1
0x1074	0xD03E      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
L___Lib_USB_genHID_USB_Check_Std_Request122:
0x1076	0x0100      	MOVLB       0
0x1078	0x8FFF      	BSF         __Lib_USB_genHID_inPipes+3, 7, 1
0x107A	0x0EEC      	MOVLW       __Lib_USB_genHID_USBAlternateInterface
0x107C	0x6EE1      	MOVWF       FSR1 
0x107E	0x0E00      	MOVLW       hi_addr(__Lib_USB_genHID_USBAlternateInterface)
0x1080	0x6EE2      	MOVWF       FSR1H 
0x1082	0x0104      	MOVLB       4
0x1084	0x5124      	MOVF        1060, 0, 1
0x1086	0x26E1      	ADDWF       FSR1, 1 
0x1088	0xB0D8      	BTFSC       STATUS, 0 
0x108A	0x2AE2      	INCF        FSR1H, 1 
0x108C	0xFFE6C422  	MOVFF       1058, POSTINC1
0x1090	0xD030      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
L___Lib_USB_genHID_USB_Check_Std_Request123:
0x1092	0x0E02      	MOVLW       2
0x1094	0x0103      	MOVLB       3
0x1096	0x6F20      	MOVWF       FARG___Lib_USB_genHID_USB_CB_Handler_event, 1
0x1098	0x0E00      	MOVLW       0
0x109A	0x6F21      	MOVWF       FARG___Lib_USB_genHID_USB_CB_Handler_event+1, 1
0x109C	0x6B22      	CLRF        FARG___Lib_USB_genHID_USB_CB_Handler_pdata, 1
0x109E	0x6B23      	CLRF        FARG___Lib_USB_genHID_USB_CB_Handler_pdata+1, 1
0x10A0	0x6B24      	CLRF        FARG___Lib_USB_genHID_USB_CB_Handler_size, 1
0x10A2	0x6B25      	CLRF        FARG___Lib_USB_genHID_USB_CB_Handler_size+1, 1
0x10A4	0xF002ECAA  	CALL        __Lib_USB_genHID_USB_CB_Handler, 0
0x10A8	0xD024      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
L___Lib_USB_genHID_USB_Check_Std_Request124:
L___Lib_USB_genHID_USB_Check_Std_Request125:
0x10AA	0xD023      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
L___Lib_USB_genHID_USB_Check_Std_Request112:
0x10AC	0x0104      	MOVLB       4
0x10AE	0x5121      	MOVF        1057, 0, 1
0x10B0	0x0A05      	XORLW       5
0x10B2	0xE0B1      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request114
0x10B4	0x5121      	MOVF        1057, 0, 1
0x10B6	0x0A06      	XORLW       6
0x10B8	0xE0B3      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request115
0x10BA	0x5121      	MOVF        1057, 0, 1
0x10BC	0x0A09      	XORLW       9
0x10BE	0xE0B2      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request116
0x10C0	0x5121      	MOVF        1057, 0, 1
0x10C2	0x0A08      	XORLW       8
0x10C4	0xE0B2      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request117
0x10C6	0x5121      	MOVF        1057, 0, 1
0x10C8	0x0A00      	XORLW       0
0x10CA	0xE0BB      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request118
0x10CC	0x5121      	MOVF        1057, 0, 1
0x10CE	0x0A01      	XORLW       1
0x10D0	0xE0BB      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request119
0x10D2	0x5121      	MOVF        1057, 0, 1
0x10D4	0x0A03      	XORLW       3
0x10D6	0xE0B8      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request120
0x10D8	0x5121      	MOVF        1057, 0, 1
0x10DA	0x0A0A      	XORLW       10
0x10DC	0xE0B7      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request121
0x10DE	0x5121      	MOVF        1057, 0, 1
0x10E0	0x0A0B      	XORLW       11
0x10E2	0xE0C9      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request122
0x10E4	0x5121      	MOVF        1057, 0, 1
0x10E6	0x0A07      	XORLW       7
0x10E8	0xE0D4      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request123
0x10EA	0x5121      	MOVF        1057, 0, 1
0x10EC	0x0A0C      	XORLW       12
0x10EE	0xE0DD      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request124
0x10F0	0xD7DC      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request125
L___Lib_USB_genHID_USB_Check_Std_Request113:
0x10F2	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_Check_Std_Request
__Lib_USB_genHID_USB_CtrlTrf_Rx_Service:
0x10F4	0x0E01      	MOVLW       1
0x10F6	0x0100      	MOVLB       0
0x10F8	0x25DB      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr, 0, 1
0x10FA	0x6EE9      	MOVWF       FSR0 
0x10FC	0x0E00      	MOVLW       0
0x10FE	0x21DC      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr+1, 0, 1
0x1100	0x6EEA      	MOVWF       FSR0H 
0x1102	0xF000CFEE  	MOVFF       POSTINC0, R0
0x1106	0xF31EC000  	MOVFF       R0, __Lib_USB_genHID_USB_CtrlTrf_Rx_Service_byteToRead_L0
0x110A	0x0E00      	MOVLW       0
0x110C	0x5DF5      	SUBWF       __Lib_USB_genHID_outPipes+4, 0, 1
0x110E	0xE104      	BNZ         L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service278
0x1110	0x0103      	MOVLB       3
0x1112	0x511E      	MOVF        __Lib_USB_genHID_USB_CtrlTrf_Rx_Service_byteToRead_L0, 0, 1
0x1114	0x0100      	MOVLB       0
0x1116	0x5DF4      	SUBWF       __Lib_USB_genHID_outPipes+3, 0, 1
L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service278:
0x1118	0xE203      	BC          L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service179
0x111A	0xF31EC0F4  	MOVFF       __Lib_USB_genHID_outPipes+3, __Lib_USB_genHID_USB_CtrlTrf_Rx_Service_byteToRead_L0
0x111E	0xD00C      	BRA         L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service180
L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service179:
0x1120	0x0103      	MOVLB       3
0x1122	0x511E      	MOVF        __Lib_USB_genHID_USB_CtrlTrf_Rx_Service_byteToRead_L0, 0, 1
0x1124	0x0100      	MOVLB       0
0x1126	0x5DF4      	SUBWF       __Lib_USB_genHID_outPipes+3, 0, 1
0x1128	0x6E00      	MOVWF       R0 
0x112A	0x0E00      	MOVLW       0
0x112C	0x59F5      	SUBWFB      __Lib_USB_genHID_outPipes+4, 0, 1
0x112E	0x6E01      	MOVWF       R1 
0x1130	0xF0F4C000  	MOVFF       R0, __Lib_USB_genHID_outPipes+3
0x1134	0xF0F5C001  	MOVFF       R1, __Lib_USB_genHID_outPipes+4
L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service180:
0x1138	0x0103      	MOVLB       3
0x113A	0x6B1F      	CLRF        __Lib_USB_genHID_USB_CtrlTrf_Rx_Service_i_L0, 1
L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service181:
0x113C	0x511E      	MOVF        __Lib_USB_genHID_USB_CtrlTrf_Rx_Service_byteToRead_L0, 0, 1
0x113E	0x5D1F      	SUBWF       __Lib_USB_genHID_USB_CtrlTrf_Rx_Service_i_L0, 0, 1
0x1140	0xE21E      	BC          L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service182
0x1142	0x0E28      	MOVLW       __Lib_USB_genHID_CtrlTrfData
0x1144	0x6EE9      	MOVWF       FSR0 
0x1146	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_CtrlTrfData)
0x1148	0x6EEA      	MOVWF       FSR0H 
0x114A	0x511F      	MOVF        __Lib_USB_genHID_USB_CtrlTrf_Rx_Service_i_L0, 0, 1
0x114C	0x26E9      	ADDWF       FSR0, 1 
0x114E	0xB0D8      	BTFSC       STATUS, 0 
0x1150	0x2AEA      	INCF        FSR0H, 1 
0x1152	0xF000CFEE  	MOVFF       POSTINC0, R0
0x1156	0xFFE1C0F1  	MOVFF       __Lib_USB_genHID_outPipes, FSR1
0x115A	0xFFE2C0F2  	MOVFF       __Lib_USB_genHID_outPipes+1, FSR1H
0x115E	0xFFE6C000  	MOVFF       R0, POSTINC1
0x1162	0x0E01      	MOVLW       1
0x1164	0x0100      	MOVLB       0
0x1166	0x25F1      	ADDWF       __Lib_USB_genHID_outPipes, 0, 1
0x1168	0x6E00      	MOVWF       R0 
0x116A	0x0E00      	MOVLW       0
0x116C	0x21F2      	ADDWFC      __Lib_USB_genHID_outPipes+1, 0, 1
0x116E	0x6E01      	MOVWF       R1 
0x1170	0xF0F1C000  	MOVFF       R0, __Lib_USB_genHID_outPipes
0x1174	0xF0F2C001  	MOVFF       R1, __Lib_USB_genHID_outPipes+1
0x1178	0x0103      	MOVLB       3
0x117A	0x2B1F      	INCF        __Lib_USB_genHID_USB_CtrlTrf_Rx_Service_i_L0, 1, 1
0x117C	0xD7DF      	BRA         L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service181
L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service182:
0x117E	0x0E00      	MOVLW       0
0x1180	0x6E00      	MOVWF       R0 
0x1182	0x0100      	MOVLB       0
0x1184	0x51F5      	MOVF        __Lib_USB_genHID_outPipes+4, 0, 1
0x1186	0x5C00      	SUBWF       R0, 0 
0x1188	0xE102      	BNZ         L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service279
0x118A	0x51F4      	MOVF        __Lib_USB_genHID_outPipes+3, 0, 1
0x118C	0x0800      	SUBLW       0
L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service279:
0x118E	0xE228      	BC          L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service184
0x1190	0x0E01      	MOVLW       1
0x1192	0x25DD      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x1194	0x6EE1      	MOVWF       FSR1 
0x1196	0x0E00      	MOVLW       0
0x1198	0x21DE      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x119A	0x6EE2      	MOVWF       FSR1H 
0x119C	0x0E08      	MOVLW       8
0x119E	0x6EE6      	MOVWF       POSTINC1 
0x11A0	0x0E02      	MOVLW       2
0x11A2	0x25DD      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x11A4	0x6EE1      	MOVWF       FSR1 
0x11A6	0x0E00      	MOVLW       0
0x11A8	0x21DE      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x11AA	0x6EE2      	MOVWF       FSR1H 
0x11AC	0x0E28      	MOVLW       __Lib_USB_genHID_CtrlTrfData
0x11AE	0x6EE6      	MOVWF       POSTINC1 
0x11B0	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_CtrlTrfData)
0x11B2	0x6EE6      	MOVWF       POSTINC1 
0x11B4	0xFFE9C0DB  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr, FSR0
0x11B8	0xFFEAC0DC  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr+1, FSR0H
0x11BC	0xF000CFEE  	MOVFF       POSTINC0, R0
0x11C0	0xBC00      	BTFSC       R0, 6 
0x11C2	0xD007      	BRA         L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service185
0x11C4	0xFFE1C0DD  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, FSR1
0x11C8	0xFFE2C0DE  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, FSR1H
0x11CC	0x0EC8      	MOVLW       200
0x11CE	0x6EE6      	MOVWF       POSTINC1 
0x11D0	0xD006      	BRA         L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service186
L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service185:
0x11D2	0xFFE1C0DD  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, FSR1
0x11D6	0xFFE2C0DE  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, FSR1H
0x11DA	0x0E88      	MOVLW       136
0x11DC	0x6EE6      	MOVWF       POSTINC1 
L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service186:
0x11DE	0xD02D      	BRA         L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service187
L___Lib_USB_genHID_USB_CtrlTrf_Rx_Service184:
0x11E0	0x0E01      	MOVLW       1
0x11E2	0x25DD      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x11E4	0x6EE1      	MOVWF       FSR1 
0x11E6	0x0E00      	MOVLW       0
0x11E8	0x21DE      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x11EA	0x6EE2      	MOVWF       FSR1H 
0x11EC	0x0E08      	MOVLW       8
0x11EE	0x6EE6      	MOVWF       POSTINC1 
0x11F0	0x0E02      	MOVLW       2
0x11F2	0x25DD      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x11F4	0x6EE1      	MOVWF       FSR1 
0x11F6	0x0E00      	MOVLW       0
0x11F8	0x21DE      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x11FA	0x6EE2      	MOVWF       FSR1H 
0x11FC	0x0E20      	MOVLW       __Lib_USB_genHID_SetupPkt
0x11FE	0x6EE6      	MOVWF       POSTINC1 
0x1200	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_SetupPkt)
0x1202	0x6EE6      	MOVWF       POSTINC1 
0x1204	0xFFE1C0DD  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, FSR1
0x1208	0xFFE2C0DE  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, FSR1H
0x120C	0x0E84      	MOVLW       132
